Listing Office - Office Name,Address,City,Property Type,County,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Price - Closed,Price - List, Price - Original , Tax - Gross Amount ,Lot - Acres,Year Built,Rooms - Total,Garage Capacity,Basement
Granite Northland Associates,668 NH ROUTE 118,Canaan,Single Family,NH-Grafton,3,2,1144,520, 198500, 199900,229900,4292,109,2007,5,0,Yes
Vanessa Stone Real Estate,157 Follensbee Rd,Canaan,Single Family,NH-Grafton,4,2,2304,275, 130000, 139900,145000,3410,1,1973,8,0,Yes
Vanessa Stone Real Estate,142 Wescott Road,Canaan,Single Family,NH-Grafton,4,2,2100,377, 349900, 349900,369500,6794,18,2003,8,4,No
Vanessa Stone Real Estate,16 Gould Rd,Canaan,Single Family,NH-Grafton,4,3,3221,409, 259900, 259900,264900,6379,2,1980,12,2,Yes
Granite Northland Associates,31 Codfish Hill Road,Canaan,Single Family,NH-Grafton,2,1,868,130, 70000, 79900,79900,1496,064,1983,4,0,No
Granite Northland Associates,136 SOUTH ROAD,Canaan,Single Family,NH-Grafton,3,2,1344,33, 210000, 210000,210000,4082,51,2007,5,2,Yes
RE/MAX Northern Edge Realty LLC,154 Grafton Turnpike Road,Canaan,Single Family,NH-Grafton,3,2,1944,201, 60000, 139900,189900,5624,34,1990,6,1,Yes
Cantlin Associates REALTORS,5 Hersey Way,Canaan,Single Family,NH-Grafton,3,2,2616,195, 180000, 189000,215000,3821,17,1989,7,6,Yes
Moosilauke Realty,25 Rogers Way,Canaan,Single Family,NH-Grafton,3,2,1972,0, 150000, 159900,159900,5800,27,1995,9,2,Yes
Granite Northland Associates,70 Wolfson Spring,Canaan,Single Family,NH-Grafton,3,2,0,269, 211000, 225000,265000,4505,1646,2004,8,0,Yes
Coldwell Banker RB/Center Harbor,60 Gould Road,Canaan,Single Family,NH-Grafton,0,0,600,129, 28000, 39500,39500,1099,1,1968,0,0,No
Vanessa Stone Real Estate,672 Goose Pond Road,Canaan,Single Family,NH-Grafton,2,1,1134,123, 219000, 244000,249000,5749,14,1978,4,0,Yes
Vanessa Stone Real Estate,60 Gristmill Hill Rd,Canaan,Single Family,NH-Grafton,3,2,1805,27, 170000, 188000,188000,3328,092,1995,6,1,Yes
Vanessa Stone Real Estate,835 Grafton Turnpike,Canaan,Single Family,NH-Grafton,2,1,968,62, 90000, 110000,110000, -   ,229,1988,5,0,No
Vanessa Stone Real Estate,355 Jones Hill Rd,Canaan,Single Family,NH-Grafton,2,1,1120,349, 184000, 189000,225000, -   ,507,2012,4,0,No
Granite Northland Associates,54 BLAIN ROAD,Canaan,Single Family,NH-Grafton,3,2,1188,20, 135000, 144900,144900,3237,505,2003,6,0,No
Granite Northland Associates,124 South Road,Canaan,Single Family,NH-Grafton,3,3,3686,271, 284900, 299000,299000,6995,266,1991,9,2,No
