Listing Office - Office Name;Address;City;Property Type;PropDummy;County;Bedrooms - Total;Baths - Total;SqFtTotFn;DOM;Price - Closed;Price - List; Price - Original ; Tax - Gross Amount ;Lot - Acres;Year Built;Rooms - Total;Garage Capacity;Basement
Granite Northland Associates;668 NH ROUTE 118;Canaan;Single Family;0;NH-Grafton;3;2;1.144;520;$198.500;$199.900;229.900;4.292;1,09;2007;5;0;Yes
Vanessa Stone Real Estate;157 Follensbee Rd;Canaan;Single Family;0;NH-Grafton;4;2;2.304;275;$130.000;$139.900;145.000;3.410;1;1973;8;0;Yes
Vanessa Stone Real Estate;142 Wescott Road;Canaan;Single Family;0;NH-Grafton;4;2;2.100;377;$349.900;$349.900;369.500;6.794;18;2003;8;4;No
Vanessa Stone Real Estate;16 Gould Rd;Canaan;Single Family;0;NH-Grafton;4;3;3.221;409;$259.900;$259.900;264.900;6.379;2;1980;12;2;Yes
Granite Northland Associates;31 Codfish Hill Road;Canaan;Single Family;0;NH-Grafton;2;1;868;130;$70.000;$79.900;79.900;1.496;0,64;1983;4;0;No
Granite Northland Associates;136 SOUTH ROAD;Canaan;Single Family;0;NH-Grafton;3;2;1.344;33;$210.000;$210.000;210.000;4.082;5,1;2007;5;2;Yes
RE/MAX Northern Edge Realty LLC;154 Grafton Turnpike Road;Canaan;Single Family;0;NH-Grafton;3;2;1.944;201;$60.000;$139.900;189.900;5.624;3,4;1990;6;1;Yes
Cantlin Associates REALTORS;5 Hersey Way;Canaan;Single Family;0;NH-Grafton;3;2;2.616;195;$180.000;$189.000;215.000;3.821;1,7;1989;7;6;Yes
Moosilauke Realty;25 Rogers Way;Canaan;Single Family;0;NH-Grafton;3;2;1.972;0;$150.000;$159.900;159.900;5.800;2,7;1995;9;2;Yes
Granite Northland Associates;70 Wolfson Spring;Canaan;Single Family;0;NH-Grafton;3;2;0;269;$211.000;$225.000;265.000;4.505;16,46;2004;8;0;Yes
Coldwell Banker RB/Center Harbor;60 Gould Road;Canaan;Single Family;0;NH-Grafton;0;0;600;129;$28.000;$39.500;39.500;1.099;1;1968;0;0;No
Vanessa Stone Real Estate;672 Goose Pond Road;Canaan;Single Family;0;NH-Grafton;2;1;1.134;123;$219.000;$244.000;249.000;5.749;1,4;1978;4;0;Yes
