Year;PopTotal;Avhousehold;Fertility;Birth;Death;SingleCondo;Bedrooms;Bathrooms;TotalRooms;SizeIndoor;SizeTotal;HousesTotal;;;;
1960,000;609000,000;3,330;3,654;23,700;9,500;0,00000;2,875;1,844;6,406;1692,000;1,275;32,000;;;;32
1961,000;618000,000;;3,620;23,300;9,300;0,00000;3,250;2,125;6,625;1554,000;0,515;8,000;;;;
1962,000;632000,000;;3,461;22,400;9,500;0,00000;3,529;2,412;7,647;2181,000;1,442;17,000;;;;
1963,000;649000,000;;3,319;21,700;9,600;0,00000;2,778;1,333;6,000;1326,000;1,056;9,000;;;;
1964,000;663000,000;;3,190;21,100;9,400;0,00000;3,042;2,167;7,375;2045,000;4,285;24,000;;;;
1965,000;676000,000;;2,913;19,400;9,400;0,02703;3,000;2,162;7,000;1975,000;1,434;37,000;;;;
1966,000;681000,000;;2,721;18,400;9,500;0,00000;3,158;2,053;7,474;1980,000;6,812;19,000;;;;
1967,000;697000,000;;2,558;17,800;9,400;0,00000;3,091;2,000;6,636;1843,000;1,495;11,000;;;;
1968,000;709000,000;;2,464;17,600;9,800;0,05556;2,833;2,056;6,889;1924,000;3,184;18,000;;;;
1969,000;724000,000;;2,456;17,900;9,500;0,08333;3,000;1,917;7,083;1857,000;1,177;12,000;;;;
1970,000;737681,000;3,140;2,480;18,400;9,500;0,03030;3,045;1,985;7,273;1932,000;3,525;66,000;;;;
1971,000;761851,000;3,110;2,266;17,200;9,300;0,56520;2,413;1,565;5,674;1352,000;0,769;46,000;;;;
1972,000;781107,000;3,060;2,010;15,600;9,400;0,02857;3,171;2,257;7,771;2078,000;10,230;35,000;;;;
1973,000;800951,000;3,010;1,879;14,800;9,300;0,06250;2,844;1,969;6,938;1824,000;1,850;32,000;;;;
1974,000;815914,000;2,970;1,835;14,800;9,100;0,39660;2,862;2,172;6,707;1686,000;2,166;58,000;;;;
1975,000;828555,000;2,940;1,774;14,600;8,800;0,05882;3,039;2,020;7,039;1796,000;1,756;51,000;;;;
1976,000;845248,000;2,890;1,738;14,600;8,800;0,04651;3,047;2,326;7,860;2179,000;3,270;43,000;;;;
1977,000;869763,000;2,860;1,790;15,100;8,600;0,40000;2,940;2,460;7,100;1973,000;1,670;50,000;;;;
1978,000;891520,000;2,810;1,760;15,000;8,700;0,29170;2,903;2,000;6,722;1708,000;14,970;72,000;;;;
1979,000;909074,000;2,780;1,808;15,600;8,500;0,30000;2,886;2,329;7,214;1940,000;1,663;70,000;;;;
1980,000;920610,000;2,760;1,840;15,900;8,800;0,07692;2,954;2,185;7,462;2036,000;2,300;65,000;;;;
1981,000;936621,000;2,730;1,812;15,800;8,600;0,43590;2,974;2,385;7,590;1881,000;1,295;39,000;;;;
1982,000;947720,000;2,720;1,828;15,900;8,500;0,31430;3,200;2,629;7,657;2049,000;3,010;35,000;;;;
1983,000;958134,000;2,730;1,799;15,600;8,600;0,45160;3,226;3,065;7,968;2405,000;3,647;31,000;;;;
1984,000;976863,000;2,710;1,807;15,600;8,700;0,34620;2,519;2,288;6,635;1824,200;3,144;52,000;;;;
1985,000;996753,000;2,690;1,844;15,800;8,700;0,29630;2,827;2,395;7,333;1959,000;2,900;81,000;;;;
1986,000;1025000,000;2,670;1,838;15,600;8,700;0,46000;2,730;2,250;6,730;1740,000;2,167;100,000;;;;
1987,000;1054000,000;2,660;1,872;15,700;8,600;0,42980;2,518;2,246;6,509;1792,000;2,616;114,000;;;;
1988,000;1083000,000;2,640;1,934;16,000;8,900;0,40000;2,905;2,589;6,947;2084,000;3,533;95,000;;;;
1989,000;1105000,000;2,620;2,014;16,400;8,800;0,08861;3,190;2,861;8,253;2475,000;6,688;79,000;;;;
1990,000;1112000,000;2,630;2,081;16,700;8,600;0,09302;3,372;2,837;8,116;2494,000;7,406;43,000;;;;
1991,000;1110000,000;2,630;2,063;16,200;8,600;0,00000;3,103;3,034;8,310;2512,000;3,010;29,000;;;;
1992,000;1118000,000;2,620;2,046;15,800;8,500;0,09677;3,194;2,935;8,032;2676,000;12,703;31,000;;;;
1993,000;1129000,000;2,630;2,020;15,400;8,800;0,09091;3,182;3,061;8,515;2749,000;7,655;33,000;;;;
1994,000;1143000,000;2,670;2,002;15,000;8,800;0,06452;3,129;2,903;8,129;2652,000;3,883;31,000;;;;
1995,000;1158000,000;2,650;1,978;14,600;8,800;0,00000;3,243;2,919;8,162;2499,000;4,265;37,000;;;;
1996,000;1175000,000;2,650;1,976;14,400;8,800;0,00000;2,929;2,893;8,036;2580,000;8,118;28,000;;;;
1997,000;1189000,000;2,640;1,971;14,200;8,700;0,00000;2,900;2,800;8,050;2631,000;4,777;20,000;;;;
1998,000;1206000,000;2,620;1,999;14,300;8,600;0,29410;2,971;2,912;8,000;2557,000;6,079;34,000;;;;
