OverallQual;OverallCond;RoofMatl;roofDummy;MasVnrArea;ExterQual;extDummy;BsmtExposure;BsmtFinSF1;stFlrSF;ndFlrSF;KitchenQual;SalePrice;LotArea;Condition2;Neighborhood
7;5;CompShg;0;196;Gd;0;No;706;856;854;Gd;208500;8450;Norm;CollgCr
6;8;CompShg;0;0;TA;1;Gd;978;1262;0;TA;181500;9600;Norm;Veenker
7;5;CompShg;0;162;Gd;0;Mn;486;920;866;Gd;223500;11250;Norm;CollgCr
7;5;CompShg;0;0;TA;1;No;216;961;756;Gd;140000;9550;Norm;Crawfor
8;5;CompShg;0;350;Gd;0;Av;655;1145;1053;Gd;250000;14260;Norm;NoRidge
5;5;CompShg;0;0;TA;1;No;732;796;566;TA;143000;14115;Norm;Mitchel
8;5;CompShg;0;186;Gd;0;Av;1369;1694;0;Gd;307000;10084;Norm;Somerst
7;6;CompShg;0;240;TA;1;Mn;859;1107;983;TA;200000;10382;Norm;NWAmes
7;5;CompShg;0;0;TA;1;No;0;1022;752;TA;129900;6120;Norm;OldTown
5;6;CompShg;0;0;TA;1;No;851;1077;0;TA;118000;7420;Artery;BrkSide
5;5;CompShg;0;0;TA;1;No;906;1040;0;TA;129500;11200;Norm;Sawyer
9;5;CompShg;0;286;Ex;2;No;998;1182;1142;Ex;345000;11924;Norm;NridgHt
5;6;CompShg;0;0;TA;1;No;737;912;0;TA;144000;12968;Norm;Sawyer
7;5;CompShg;0;306;Gd;0;Av;0;1494;0;Gd;279500;10652;Norm;CollgCr
6;5;CompShg;0;212;TA;1;No;733;1253;0;TA;157000;10920;Norm;NAmes
7;8;CompShg;0;0;TA;1;No;0;854;0;TA;132000;6120;Norm;BrkSide
6;7;CompShg;0;180;TA;1;No;578;1004;0;TA;149000;11241;Norm;NAmes
4;5;CompShg;0;0;TA;1;NA;0;1296;0;TA;90000;10791;Norm;Sawyer
5;5;CompShg;0;0;TA;1;No;646;1114;0;Gd;159000;13695;Norm;SawyerW
5;6;CompShg;0;0;TA;1;No;504;1339;0;TA;139000;7560;Norm;NAmes
8;5;CompShg;0;380;Gd;0;Av;0;1158;1218;Gd;325300;14215;Norm;NridgHt
7;7;CompShg;0;0;TA;1;No;0;1108;0;Gd;139400;7449;Norm;IDOTRR
8;5;CompShg;0;281;Gd;0;No;0;1795;0;Gd;230000;9742;Norm;CollgCr
5;7;CompShg;0;0;TA;1;No;840;1060;0;TA;129900;4224;Norm;MeadowV
